@target G0.S0
@type xydy
0.3 -400.35438 2.15353
0.4 -391.41757 2.23463
0.5 -397.70656 2.08411
0.6 -397.94747 2.03448
0.7 -407.18673 2.28455
0.8 -410.66918 1.87465
0.9 -380.83133 2.22972
1.0 -384.28126 2.15056
1.1 -385.49883 2.15998
1.2 -374.12000 2.29538
1.3 -366.24599 1.90044
1.4 -387.13471 2.17061
1.5 -382.02189 2.40608
1.6 -395.79140 2.21398
1.7 -389.58864 2.23175
1.8 -360.27372 2.16136
1.9 -393.65002 2.29517
2.0 -379.14043 2.41331
&
@target G0.S2
@type xydy
-2.0 -365.87922 1.88188
-1.9 -333.48703 2.08364
-1.8 -377.65672 2.00407
-1.7 -392.56309 2.11057
-1.6 -391.33232 2.20664
-1.5 -373.82833 2.12614
-1.4 -397.46879 1.98316
-1.3 -378.57993 2.10305
-1.2 -399.02100 2.13902
-1.1 -408.01172 2.05047
-1.0 -411.19337 2.06011
-0.9 -393.88499 1.91481
-0.8 -414.12411 2.07869
-0.7 -417.83115 2.15886
-0.6 -418.79447 1.98456
-0.5 -419.16952 2.25523
-0.4 -420.78796 2.11077
-0.3 -421.32877 2.07324
-0.2 -417.32892 1.90578
-0.1 -409.25129 2.23260
0.0 -405.36926 2.20293
0.1 -415.53716 2.34360
0.2 -405.85852 2.10842
0.3 -433.14746 2.10459
0.4 -415.86931 2.18427
0.5 -395.43683 2.25939
0.6 -412.33219 2.16877
0.7 -423.58096 2.23036
0.8 -386.99338 2.12349
0.9 -387.05439 2.30169
1.0 -384.96036 2.27939
1.1 -352.97266 2.29603
1.2 -371.09686 2.33469
1.3 -374.69897 2.04723
1.4 -363.66906 2.19402
1.5 -364.73069 2.36986
1.6 -357.98821 2.21556
1.7 -350.03316 1.96725
1.8 -377.35160 2.26362
1.9 -383.04174 2.10743
2.0 -393.73528 2.23043
&
@target G1.S2
@type xydy
-2.0 -389.78131 2.30742
-1.9 -382.27660 2.04482
-1.8 -401.89694 2.29917
-1.7 -407.27814 2.14499
-1.6 -390.70088 2.23947
-1.5 -385.77412 2.15522
-1.4 -381.25841 2.16092
-1.3 -382.37027 2.02497
-1.2 -407.28101 2.30302
-1.1 -398.08311 2.18854
-1.0 -389.05319 2.35975
-0.9 -408.19191 2.13511
-0.8 -422.76326 2.21936
-0.7 -410.10025 2.31193
-0.6 -409.05940 2.26850
-0.5 -408.87821 1.93493
-0.4 -410.49943 2.03769
-0.3 -421.49328 2.37487
-0.2 -413.47816 2.08392
-0.1 -417.36479 2.12638
0.0 -407.69163 2.10596
0.1 -417.13845 2.22283
0.2 -406.06708 1.90981
0.3 -415.07633 2.15274
0.4 -406.42271 2.35357
0.5 -396.81392 2.23066
0.6 -398.78551 2.12326
0.7 -400.39658 2.11819
0.8 -396.32227 2.25587
0.9 -368.80568 2.13126
1.0 -376.11761 2.20276
1.1 -365.51025 2.19780
1.2 -384.31660 1.99884
1.3 -358.20842 2.07346
1.4 -382.60134 2.19644
1.5 -378.62362 2.34734
1.6 -364.86571 2.30678
1.7 -373.18640 2.34365
1.8 -363.19281 2.07228
1.9 -359.29642 2.27629
2.0 -359.72686 2.05486
&
@target G2.S2
@type xydy
-2.0 -366.55082 2.26461
-1.9 -355.26011 2.62055
-1.8 -379.38731 2.45440
-1.7 -370.57990 2.12901
-1.6 -365.41583 2.22383
-1.5 -381.93960 1.95720
-1.4 -387.87366 1.99374
-1.3 -392.70509 2.19323
-1.2 -386.08496 2.36538
-1.1 -382.96511 2.30285
-1.0 -388.39676 1.83106
-0.9 -400.47379 2.02740
-0.8 -396.71264 2.12766
-0.7 -392.41698 2.08906
-0.6 -391.09454 2.11667
-0.5 -394.43701 2.04719
-0.4 -398.46774 1.87504
-0.3 -412.51032 2.25552
-0.2 -404.00644 2.42515
-0.1 -393.20880 2.03585
0.0 -412.86064 2.27120
0.1 -418.77856 2.05544
0.2 -408.61700 2.04998
0.3 -406.42745 2.25514
0.4 -402.66297 2.01446
