@target G0.S0
0.0 0.00342
0.1 0.00136
0.2 0.00198
0.3 0.00114
0.4 0.01022
0.5 0.02091
0.6 0.02850
0.7 0.02145
0.8 0.04370
0.9 0.04301
1.0 0.05538
1.1 0.00428
1.2 0.00279
1.3 0.01646
1.4 0.05288
1.5 0.05202
1.6 0.00939
1.7 0.02764
1.8 0.03589
1.9 0.01010
2.0 0.00211
&
@target G4.S2
@type xy
-2.0 0.04542
-1.9 0.01747
-1.8 0.04722
-1.7 0.08168
-1.6 0.02526
-1.5 0.01037
-1.4 0.12227
-1.3 0.09778
-1.2 0.04531
-1.1 0.10611
-1.0 0.08461
-0.9 0.15042
-0.8 0.10117
-0.7 0.19046
-0.6 0.13187
-0.5 0.01737
-0.4 0.01363
-0.3 0.00078
-0.2 0.01049
-0.1 0.00007
0.0 0.00018
0.1 0.00039
0.2 0.03762
0.3 0.05559
0.4 0.06032
0.5 0.00326
0.6 0.05407
0.7 0.14051
0.8 0.06125
0.9 0.10059
1.0 0.15329
1.1 0.16351
1.2 0.16670
1.3 0.47856
1.4 0.44655
1.5 0.34685
1.6 0.23410
1.7 0.14973
1.8 0.37838
1.9 0.25080
2.0 0.27130
&
@target G5.S2
@type xy
-2.0 0.11307
-1.9 0.10548
-1.8 0.10126
-1.7 0.08187
-1.6 0.17282
-1.5 0.12020
-1.4 0.04611
-1.3 0.07682
-1.2 0.08873
-1.1 0.06305
-1.0 0.05476
-0.9 0.00379
-0.8 0.00389
-0.7 0.00780
-0.6 0.01024
-0.5 0.01007
-0.4 0.00703
-0.3 0.01060
-0.2 0.00005
-0.1 0.00016
0.0 0.01662
0.1 0.01521
0.2 0.01537
0.3 0.00896
0.4 0.01189
0.5 0.03834
0.6 0.03310
0.7 0.03021
0.8 0.09002
0.9 0.05095
1.0 0.16572
1.1 0.05094
1.2 0.17443
1.3 0.16457
1.4 0.10135
1.5 0.03446
1.6 0.08755
1.7 0.02027
1.8 0.02815
1.9 0.11495
2.0 0.01559
&
