@target G0.S0
@type xydy
0.0 0.05657 0.04705
0.1 0.14802 0.12874
0.2 0.05159 0.03052
0.3 0.02699 0.01568
0.4 0.10156 0.10349
0.5 0.07724 0.05851
0.6 0.10101 0.08637
0.7 0.07992 0.07179
0.8 0.06120 0.03919
0.9 0.10310 0.10440
1.0 0.18004 0.14575
1.1 0.22568 0.21128
1.2 0.14913 0.11312
1.3 0.19528 0.17102
1.4 0.12654 0.09119
1.5 0.14148 0.10969
1.6 0.08661 0.05026
1.7 0.27465 0.25328
1.8 0.17556 0.15838
1.9 0.22130 0.15952
2.0 0.20244 0.17434
&
@target G3.S2
@type xydy
-2.0 0.08661 0.04223
-1.9 0.11461 0.07959
-1.8 0.11213 0.06121
-1.7 0.21907 0.19581
-1.6 0.12531 0.10384
-1.5 0.28293 0.24799
-1.4 0.14568 0.07178
-1.3 0.18595 0.16961
-1.2 0.18177 0.15876
-1.1 0.12683 0.12256
-1.0 0.15497 0.13964
-0.9 0.08084 0.04471
-0.8 0.06881 0.05593
-0.7 0.16025 0.14401
-0.6 0.10259 0.07409
-0.5 0.05844 0.04800
-0.4 0.06459 0.06725
-0.3 0.03103 0.01916
-0.2 0.05860 0.03834
-0.1 0.06960 0.06508
0.0 0.06842 0.05350
0.1 0.10775 0.12327
0.2 0.05614 0.03683
0.3 0.04455 0.03318
0.4 0.07978 0.06919
0.5 0.04530 0.03455
0.6 0.11346 0.08614
0.7 0.06728 0.06026
0.8 0.10899 0.11813
0.9 0.10475 0.09485
1.0 0.17319 0.16801
1.1 0.07439 0.04789
1.2 0.06610 0.05577
1.3 0.12478 0.07450
1.4 0.10634 0.07949
1.5 0.14429 0.15246
1.6 0.10467 0.05590
1.7 0.11632 0.10006
1.8 0.12381 0.06179
1.9 0.11536 0.08567
2.0 0.15033 0.08665
&
@target G4.S2
@type xydy
-2.0 0.17060 0.14435
-1.9 0.14492 0.10135
-1.8 0.15635 0.12862
-1.7 0.14745 0.11355
-1.6 0.13901 0.20015
-1.5 0.20144 0.14703
-1.4 0.22763 0.14891
-1.3 0.20101 0.25396
-1.2 0.12508 0.07712
-1.1 0.17995 0.19618
-1.0 0.17381 0.17797
-0.9 0.18899 0.17494
-0.8 0.14618 0.12793
-0.7 0.28145 0.13418
-0.6 0.15996 0.14506
-0.5 0.06822 0.06821
-0.4 0.11335 0.10919
-0.3 0.03775 0.02975
-0.2 0.06162 0.07393
-0.1 0.09073 0.07036
0.0 0.10805 0.12072
0.1 0.09992 0.07572
0.2 0.11035 0.10247
0.3 0.09259 0.08800
0.4 0.07261 0.05928
0.5 0.08185 0.06567
0.6 0.07641 0.05704
0.7 0.22108 0.18819
0.8 0.16401 0.16566
0.9 0.20810 0.20200
1.0 0.22154 0.19880
1.1 0.23681 0.18025
1.2 0.33040 0.12139
1.3 0.56429 0.26013
1.4 0.61226 0.35289
1.5 0.43878 0.27986
1.6 0.28989 0.19949
1.7 0.36336 0.27791
1.8 0.44783 0.20106
1.9 0.46651 0.29879
2.0 0.39917 0.28064
&
@target G5.S2
@type xydy
-2.0 0.19669 0.09507
-1.9 0.18255 0.14429
-1.8 0.20804 0.16446
-1.7 0.15900 0.15124
-1.6 0.32021 0.29829
-1.5 0.16663 0.08579
-1.4 0.23421 0.20533
-1.3 0.13753 0.09596
-1.2 0.17666 0.07568
-1.1 0.11698 0.08765
-1.0 0.15770 0.13421
-0.9 0.05409 0.03952
-0.8 0.04514 0.05226
-0.7 0.09792 0.12074
-0.6 0.05663 0.05860
-0.5 0.09295 0.07085
-0.4 0.10852 0.09645
-0.3 0.04337 0.03449
-0.2 0.05525 0.03919
-0.1 0.02796 0.01518
0.0 0.11835 0.10848
0.1 0.05909 0.04107
0.2 0.12506 0.13370
0.3 0.05850 0.05323
0.4 0.08054 0.07126
0.5 0.07904 0.06201
0.6 0.16784 0.16776
0.7 0.12090 0.10348
0.8 0.17119 0.11824
0.9 0.14518 0.10133
1.0 0.26088 0.19466
1.1 0.15819 0.15268
1.2 0.24630 0.19254
1.3 0.26347 0.16889
1.4 0.22446 0.13321
1.5 0.19132 0.12184
1.6 0.18114 0.15177
1.7 0.11787 0.11981
1.8 0.18540 0.11572
1.9 0.19758 0.10377
2.0 0.09330 0.07372
&
